iter	Passed	Remaining
401	17111	25455
402	17152	25410
403	17195	25367
404	17236	25322
405	17277	25278
406	17318	25233
407	17360	25190
408	17401	25144
409	17443	25101
410	17483	25055
411	17525	25012
412	17567	24968
413	17609	24925
414	17651	24882
415	17693	24838
416	17734	24794
417	17775	24750
418	17817	24707
419	17859	24663
420	17902	24621
421	17943	24577
422	17984	24531
423	18025	24487
424	18067	24443
425	18107	24397
426	18150	24356
427	18191	24311
428	18239	24277
429	18282	24234
430	18323	24191
431	18365	24146
432	18406	24103
433	18448	24059
434	18490	24016
435	18531	23971
436	18572	23927
437	18613	23883
438	18656	23841
439	18697	23796
440	18739	23753
441	18781	23710
442	18821	23665
443	18863	23622
444	18911	23586
445	18955	23545
446	18996	23501
447	19037	23456
448	19079	23413
449	19120	23369
450	19162	23326
451	19203	23281
452	19243	23236
453	19285	23193
454	19328	23151
455	19368	23106
456	19408	23061
457	19449	23016
458	19491	22973
459	19532	22929
460	19572	22884
461	19612	22838
462	19654	22795
463	19696	22752
464	19738	22710
465	19778	22664
466	19820	22621
467	19862	22579
468	19903	22535
469	19946	22492
470	19988	22450
471	20033	22410
472	20084	22377
473	20133	22342
474	20174	22298
475	20215	22254
476	20257	22211
477	20299	22167
478	20340	22124
479	20383	22081
480	20422	22036
481	20465	21994
482	20507	21950
483	20548	21907
484	20590	21864
485	20631	21820
486	20675	21779
487	20715	21734
488	20757	21691
489	20798	21647
490	20839	21603
491	20881	21560
492	20923	21518
493	20970	21479
494	21012	21436
495	21068	21408
496	21110	21365
497	21151	21321
498	21194	21278
499	21235	21235
500	21275	21190
501	21317	21148
502	21360	21105
503	21401	21061
504	21442	21018
505	21484	20974
506	21533	20938
507	21574	20895
508	21616	20851
509	21659	20810
510	21699	20765
511	21740	20720
512	21781	20677
513	21823	20635
514	21865	20591
515	21906	20548
516	21955	20511
517	22003	20473
518	22045	20431
519	22087	20388
520	22128	20344
521	22170	20301
522	22212	20258
523	22252	20214
524	22296	20172
525	22335	20127
526	22390	20096
527	22432	20053
528	22475	20011
529	22516	19967
530	22558	19924
531	22601	19882
532	22641	19838
533	22682	19794
534	22723	19750
535	22762	19705
536	22802	19659
537	22842	19615
538	22884	19572
539	22926	19529
540	22966	19485
541	23008	19442
542	23054	19403
543	23106	19368
544	23154	19331
545	23196	19287
546	23237	19244
547	23279	19201
548	23320	19157
549	23362	19114
550	23404	19071
551	23445	19028
552	23487	18985
553	23528	18941
554	23570	18898
555	23612	18855
556	23653	18812
557	23695	18769
558	23736	18726
559	23778	18683
560	23820	18640
561	23861	18596
562	23910	18559
563	23951	18515
564	23992	18472
565	24033	18428
566	24081	18390
567	24121	18345
568	24161	18301
569	24201	18257
570	24242	18213
571	24284	18170
572	24325	18127
573	24367	18084
574	24409	18041
575	24450	17998
576	24492	17955
577	24534	17912
578	24575	17869
579	24624	17831
580	24666	17788
581	24707	17745
582	24748	17702
583	24789	17658
584	24831	17615
585	24870	17570
586	24914	17529
587	24970	17496
588	25012	17453
589	25053	17410
590	25095	17367
591	25137	17324
592	25179	17281
593	25219	17237
594	25260	17194
595	25302	17151
596	25344	17108
597	25386	17065
598	25427	17022
599	25469	16979
600	25511	16937
601	25553	16894
602	25594	16850
603	25635	16807
604	25677	16764
605	25719	16722
606	25761	16678
607	25802	16635
608	25843	16592
609	25897	16557
610	25940	16515
611	25982	16472
612	26024	16430
613	26065	16386
614	26107	16343
615	26161	16308
616	26207	16268
617	26248	16224
618	26288	16180
619	26329	16137
620	26370	16093
621	26414	16052
622	26457	16010
623	26499	15967
624	26540	15924
625	26581	15881
626	26624	15838
627	26668	15797
628	26709	15753
629	26752	15711
630	26794	15668
631	26835	15625
632	26876	15582
633	26918	15539
634	26960	15496
635	27001	15453
636	27043	15410
637	27084	15367
638	27127	15325
639	27167	15281
640	27208	15238
641	27250	15195
642	27293	15153
643	27333	15110
644	27375	15066
645	27417	15024
646	27458	14981
647	27499	14938
648	27541	14895
649	27580	14850
650	27621	14807
651	27663	14765
652	27703	14721
653	27742	14677
654	27784	14634
655	27826	14591
656	27867	14548
657	27907	14504
658	27951	14463
659	27993	14420
660	28034	14377
661	28079	14336
662	28120	14293
663	28160	14249
664	28201	14206
665	28243	14163
666	28284	14120
667	28324	14077
668	28365	14034
669	28405	13990
670	28449	13949
671	28493	13907
672	28536	13865
673	28576	13821
674	28616	13778
675	28656	13735
676	28699	13692
677	28741	13649
678	28782	13606
679	28824	13564
680	28865	13521
681	28907	13478
682	28950	13436
683	28994	13394
684	29037	13353
685	29080	13311
686	29123	13268
687	29169	13228
688	29222	13190
689	29269	13149
690	29309	13106
691	29358	13067
692	29400	13024
693	29441	12981
694	29482	12938
695	29523	12895
696	29564	12852
697	29602	12808
698	29643	12764
699	29686	12722
700	29728	12680
701	29767	12636
702	29808	12593
703	29850	12550
704	29891	12507
705	29936	12466
706	29979	12424
707	30018	12380
708	30057	12336
709	30098	12293
710	30137	12249
711	30177	12206
712	30217	12163
713	30258	12120
714	30300	12077
715	30343	12035
716	30385	11993
717	30425	11949
718	30467	11907
719	30507	11864
720	30549	11821
721	30591	11779
722	30633	11736
723	30675	11693
724	30715	11650
725	30757	11608
726	30799	11565
727	30840	11522
728	30891	11483
729	30932	11440
730	30976	11398
731	31015	11355
732	31057	11312
733	31100	11270
734	31139	11227
735	31181	11184
736	31223	11142
737	31264	11099
738	31305	11056
739	31347	11013
740	31389	10971
741	31430	10928
742	31474	10886
743	31513	10843
744	31554	10800
745	31596	10757
746	31638	10715
747	31679	10672
748	31719	10629
749	31761	10587
750	31803	10544
751	31845	10502
752	31887	10459
753	31929	10417
754	31976	10376
755	32019	10334
756	32061	10291
757	32102	10249
758	32144	10206
759	32186	10164
760	32234	10123
761	32283	10083
762	32324	10040
763	32366	9998
764	32407	9955
765	32456	9914
766	32497	9872
767	32541	9830
768	32584	9787
769	32625	9745
770	32666	9702
771	32705	9659
772	32746	9616
773	32788	9573
774	32829	9531
775	32869	9488
776	32907	9444
777	32948	9401
778	32989	9359
779	33031	9316
780	33073	9274
781	33116	9232
782	33156	9189
783	33198	9146
784	33239	9103
785	33279	9060
786	33318	9017
787	33357	8974
788	33399	8931
789	33440	8889
790	33482	8846
791	33523	8804
792	33578	8765
793	33632	8725
794	33675	8683
795	33717	8641
796	33759	8598
797	33800	8556
798	33842	8513
799	33883	8470
800	33925	8428
801	33965	8385
802	34022	8346
803	34063	8303
804	34123	8266
805	34175	8225
806	34218	8183
807	34258	8140
808	34299	8098
809	34342	8055
810	34383	8012
811	34423	7970
812	34465	7927
813	34514	7886
814	34555	7843
815	34598	7801
816	34639	7758
817	34680	7716
818	34722	7673
819	34764	7631
820	34805	7588
821	34847	7545
822	34888	7503
823	34930	7460
824	34987	7421
825	35028	7378
826	35074	7337
827	35131	7297
828	35174	7255
829	35216	7213
830	35264	7171
831	35320	7131
832	35365	7089
833	35405	7047
834	35445	7004
835	35485	6961
836	35528	6919
837	35568	6876
838	35608	6833
839	35650	6790
840	35691	6747
841	35749	6708
842	35797	6666
843	35838	6624
844	35880	6581
845	35922	6539
846	35963	6496
847	36005	6453
848	36047	6411
849	36088	6368
850	36130	6325
851	36171	6283
852	36213	6240
853	36255	6198
854	36296	6155
855	36338	6112
856	36380	6070
857	36421	6027
858	36463	5985
859	36504	5942
860	36545	5899
861	36587	5857
862	36629	5814
863	36670	5772
864	36712	5729
865	36753	5687
866	36795	5644
867	36836	5601
868	36875	5558
869	36916	5516
870	36958	5473
871	36998	5430
872	37038	5388
873	37079	5345
874	37121	5303
875	37173	5261
876	37212	5219
877	37252	5176
878	37308	5135
879	37349	5093
880	37392	5050
881	37441	5009
882	37493	4967
883	37536	4925
884	37578	4883
885	37620	4840
886	37662	4797
887	37703	4755
888	37745	4712
889	37786	4670
890	37828	4627
891	37869	4585
892	37910	4542
893	37949	4499
894	37992	4457
895	38034	4414
896	38077	4372
897	38118	4329
898	38158	4287
899	38198	4244
900	38237	4201
901	38278	4158
902	38326	4117
903	38377	4075
904	38419	4032
905	38460	3990
906	38503	3947
907	38543	3905
908	38598	3864
909	38639	3821
910	38680	3778
911	38721	3736
912	38762	3693
913	38803	3651
914	38843	3608
915	38882	3565
916	38922	3523
917	38972	3481
918	39013	3438
919	39053	3395
920	39095	3353
921	39138	3311
922	39179	3268
923	39221	3225
924	39262	3183
925	39300	3140
926	39339	3097
927	39380	3055
928	39421	3012
929	39462	2970
930	39504	2927
931	39545	2885
932	39584	2842
933	39623	2799
934	39664	2757
935	39705	2714
936	39747	2672
937	39789	2630
938	39830	2587
939	39872	2545
940	39913	2502
941	39954	2460
942	39996	2417
943	40038	2375
944	40081	2332
945	40122	2290
946	40163	2247
947	40205	2205
948	40246	2162
949	40288	2120
950	40330	2078
951	40371	2035
952	40413	1993
953	40454	1950
954	40497	1908
955	40548	1866
956	40589	1823
957	40629	1781
958	40675	1738
959	40714	1696
960	40754	1653
961	40795	1611
962	40837	1569
963	40877	1526
964	40919	1484
965	40960	1441
966	41002	1399
967	41044	1356
968	41085	1314
969	41127	1271
970	41169	1229
971	41210	1187
972	41251	1144
973	41295	1102
974	41336	1059
975	41389	1017
976	41436	975
977	41479	933
978	41522	890
979	41563	848
980	41605	805
981	41647	763
982	41689	720
983	41730	678
984	41770	636
985	41813	593
986	41854	551
987	41894	508
988	41935	466
989	41975	423
990	42014	381
991	42061	339
992	42105	296
993	42148	254
994	42191	212
995	42229	169
996	42271	127
997	42312	84
998	42359	42
999	42400	0
