iter	RMSE
0	2153.804299
1	2106.91583
2	2061.03523
3	2023.582215
4	1981.188869
5	1941.3597
6	1905.992476
7	1870.48784
8	1837.80923
9	1805.037225
10	1778.59964
11	1750.843111
12	1726.118723
13	1701.654262
14	1678.754717
15	1656.100724
16	1639.970839
17	1622.136387
18	1604.151296
19	1590.634669
20	1572.048029
21	1556.481093
22	1542.653606
23	1533.471378
24	1521.229089
25	1508.508671
26	1495.742594
27	1483.33674
28	1472.679371
29	1462.330702
30	1452.275835
31	1443.7971
32	1435.575125
33	1427.619988
34	1419.989064
35	1410.920174
36	1404.285163
37	1398.75925
38	1393.882922
39	1387.585146
40	1382.741721
41	1377.098131
42	1371.385033
43	1365.88322
44	1360.875144
45	1355.826835
46	1352.228517
47	1347.599005
48	1344.022052
49	1342.067262
50	1338.116309
51	1333.930334
52	1329.61962
53	1325.962971
54	1323.410844
55	1319.326578
56	1314.352436
57	1310.53619
58	1306.427528
59	1303.528398
60	1301.287371
61	1298.045394
62	1295.043328
63	1291.328623
64	1288.885825
65	1287.017531
66	1284.069714
67	1282.116978
68	1279.903222
69	1279.33921
70	1276.411895
71	1274.57295
72	1272.264581
73	1269.495829
74	1267.756136
75	1265.005912
76	1264.084758
77	1262.61527
78	1260.497954
79	1258.747309
80	1256.015648
81	1254.427883
82	1252.910938
83	1252.19654
84	1249.861277
85	1248.639574
86	1248.027954
87	1247.240851
88	1245.445981
89	1242.43839
90	1240.48861
91	1238.829528
92	1237.672777
93	1236.882501
94	1235.172631
95	1234.194784
96	1232.767609
97	1231.91662
98	1229.374768
99	1226.739106
100	1225.727746
101	1223.076354
102	1221.619285
103	1219.069769
104	1219.032907
105	1216.961107
106	1216.494296
107	1215.600515
108	1214.756338
109	1214.439786
110	1213.431436
111	1213.400461
112	1211.681962
113	1209.976501
114	1209.13926
115	1207.921621
116	1206.404142
117	1205.469409
118	1203.992425
119	1201.703896
120	1200.394877
121	1200.186302
122	1198.632176
123	1196.900597
124	1195.827429
125	1194.027828
126	1192.855606
127	1192.089153
128	1191.662546
129	1190.331098
130	1189.641715
131	1189.025398
132	1187.27286
133	1186.944148
134	1186.265864
135	1184.429247
136	1183.737548
137	1183.595143
138	1182.395604
139	1180.948921
140	1179.974284
141	1179.394824
142	1178.661934
143	1177.910767
144	1177.376771
145	1176.537807
146	1176.170078
147	1175.285659
148	1173.548179
149	1173.54489
150	1172.057967
151	1171.888684
152	1171.78993
153	1169.448949
154	1167.900495
155	1166.904277
156	1165.917737
157	1165.184752
158	1164.574962
159	1164.38945
160	1164.0127
161	1162.55694
162	1162.116105
163	1161.397282
164	1158.320328
165	1157.044743
166	1156.373831
167	1155.980971
168	1155.113739
169	1154.503578
170	1153.94451
171	1153.339404
172	1152.698505
173	1151.864186
174	1150.35076
175	1148.41788
176	1147.497691
177	1146.670092
178	1145.627687
179	1145.160047
180	1144.609693
181	1143.682519
182	1142.368309
183	1141.421498
184	1138.602434
185	1137.685558
186	1137.045599
187	1136.229505
188	1135.887154
189	1135.278245
190	1134.502693
191	1133.608998
192	1132.485004
193	1132.267317
194	1131.774696
195	1130.522007
196	1129.763135
197	1128.828571
198	1128.024913
199	1126.985221
200	1126.0712
201	1125.536936
202	1124.843852
203	1124.431028
204	1123.450512
205	1122.757236
206	1121.83499
207	1120.658756
208	1119.715934
209	1119.042993
210	1118.627409
211	1118.073764
212	1117.71388
213	1115.544858
214	1115.104725
215	1114.026
216	1113.277854
217	1112.938428
218	1112.320353
219	1111.574819
220	1110.971848
221	1109.840961
222	1108.455738
223	1107.197837
224	1106.728718
225	1106.353626
226	1105.17996
227	1103.978764
228	1102.612794
229	1101.555563
230	1100.648758
231	1100.135668
232	1099.579827
233	1098.917898
234	1098.5784
235	1096.536712
236	1095.707954
237	1095.28414
238	1094.961316
239	1093.871877
240	1093.267183
241	1092.963556
242	1092.816562
243	1090.85517
244	1089.929247
245	1088.6543
246	1087.097359
247	1086.957137
248	1086.622618
249	1085.518089
250	1085.261262
251	1084.71341
252	1083.709989
