iter	Passed	Remaining
400	17180	25662
401	17232	25634
402	17272	25587
403	17316	25546
404	17371	25520
405	17412	25475
406	17455	25432
407	17498	25389
408	17538	25343
409	17581	25299
410	17620	25251
411	17659	25202
412	17699	25156
413	17740	25110
414	17788	25075
415	17829	25030
416	17870	24984
417	17911	24939
418	17954	24896
419	17998	24854
420	18038	24807
421	18078	24762
422	18134	24736
423	18174	24690
424	18223	24655
425	18261	24605
426	18300	24557
427	18344	24516
428	18385	24470
429	18424	24423
430	18465	24378
431	18506	24332
432	18546	24285
433	18586	24239
434	18627	24194
435	18670	24151
436	18711	24106
437	18751	24060
438	18790	24012
439	18831	23967
440	18872	23922
441	18918	23883
442	18957	23835
443	18998	23791
444	19038	23744
445	19079	23700
446	19122	23656
447	19163	23612
448	19205	23567
449	19246	23523
450	19288	23479
451	19329	23434
452	19371	23390
453	19412	23346
454	19452	23300
455	19492	23253
456	19530	23205
457	19577	23168
458	19619	23124
459	19660	23080
460	19701	23035
461	19744	22991
462	19784	22946
463	19833	22910
464	19873	22865
465	19914	22820
466	19954	22774
467	20012	22748
468	20054	22705
469	20094	22660
470	20144	22624
471	20192	22588
472	20233	22543
473	20283	22508
474	20323	22462
475	20364	22417
476	20405	22373
477	20447	22329
478	20495	22292
479	20537	22248
480	20576	22201
481	20628	22168
482	20668	22122
483	20709	22078
484	20751	22034
485	20793	21990
486	20833	21945
487	20875	21901
488	20917	21858
489	20958	21813
490	20999	21769
491	21040	21725
492	21081	21680
493	21133	21646
494	21171	21599
495	21229	21571
496	21269	21526
497	21310	21482
498	21351	21436
499	21392	21392
500	21433	21348
501	21486	21314
502	21525	21268
503	21566	21223
504	21607	21179
505	21648	21135
506	21692	21093
507	21732	21048
508	21773	21003
509	21814	20959
510	21853	20912
511	21895	20868
512	21934	20823
513	21976	20779
514	22016	20734
515	22056	20689
516	22104	20651
517	22145	20606
518	22187	20562
519	22229	20519
520	22301	20503
521	22360	20475
522	22424	20452
523	22486	20426
524	22549	20401
525	22607	20372
526	22670	20347
527	22748	20335
528	22817	20316
529	22862	20273
530	22924	20248
531	22976	20212
532	23017	20166
533	23058	20122
534	23098	20076
535	23157	20046
536	23207	20009
537	23253	19968
538	23292	19921
539	23334	19877
540	23375	19832
541	23417	19787
542	23456	19741
543	23496	19695
544	23539	19652
545	23580	19606
546	23620	19561
547	23660	19515
548	23700	19470
549	23742	19425
550	23782	19380
551	23826	19337
552	23866	19291
553	23906	19246
554	23963	19213
555	24005	19169
556	24047	19125
557	24087	19080
558	24127	19034
559	24170	18990
560	24211	18946
561	24252	18901
562	24293	18856
563	24334	18811
564	24373	18765
565	24412	18719
566	24454	18674
567	24494	18629
568	24536	18585
569	24578	18541
570	24621	18498
571	24660	18452
572	24702	18408
573	24742	18363
574	24782	18317
575	24821	18271
576	24861	18225
577	24901	18180
578	24957	18146
579	24998	18102
580	25040	18058
581	25081	18013
582	25122	17969
583	25162	17924
584	25201	17878
585	25239	17831
586	25288	17792
587	25338	17754
588	25378	17708
589	25419	17664
590	25472	17628
591	25516	17585
592	25559	17542
593	25598	17496
594	25648	17458
595	25691	17415
596	25731	17369
597	25770	17323
598	25810	17278
599	25851	17234
600	25891	17189
601	25930	17143
602	25972	17099
603	26013	17055
604	26069	17020
605	26111	16976
606	26152	16932
607	26200	16892
608	26250	16853
609	26291	16809
610	26331	16764
611	26372	16719
612	26414	16675
613	26455	16631
614	26497	16587
615	26539	16543
616	26579	16498
617	26620	16454
618	26669	16415
619	26710	16371
620	26752	16326
621	26804	16289
622	26846	16245
623	26887	16201
624	26927	16156
625	26967	16111
626	27007	16066
627	27049	16023
628	27090	15978
629	27130	15933
630	27171	15889
631	27210	15844
632	27250	15799
633	27290	15754
634	27330	15709
635	27388	15674
636	27428	15630
637	27470	15586
638	27512	15543
639	27554	15499
640	27594	15454
641	27636	15411
642	27678	15367
643	27719	15323
644	27761	15279
645	27802	15235
646	27844	15191
647	27886	15148
648	27930	15105
649	27970	15060
650	28010	15016
651	28051	14972
652	28096	14930
653	28133	14884
654	28188	14847
655	28236	14807
656	28278	14763
657	28319	14719
658	28361	14675
659	28418	14639
660	28459	14595
661	28498	14550
662	28541	14507
663	28582	14463
664	28624	14419
665	28666	14376
666	28706	14331
667	28763	14295
668	28802	14250
669	28841	14205
670	28882	14161
671	28921	14116
672	28962	14072
673	29003	14028
674	29052	13988
675	29099	13947
676	29139	13902
677	29178	13857
678	29226	13816
679	29277	13777
680	29320	13734
681	29363	13691
682	29404	13647
683	29446	13603
684	29487	13560
685	29529	13516
686	29574	13474
687	29616	13430
688	29656	13386
689	29697	13342
690	29738	13298
691	29776	13253
692	29817	13209
693	29858	13165
694	29901	13122
695	29943	13078
696	29984	13034
697	30024	12990
698	30068	12947
699	30108	12903
700	30148	12859
701	30189	12815
702	30230	12771
703	30268	12726
704	30308	12682
705	30349	12638
706	30391	12595
707	30432	12551
708	30473	12507
709	30514	12463
710	30551	12418
711	30599	12377
712	30644	12335
713	30682	12290
714	30723	12246
715	30764	12202
716	30805	12158
717	30847	12115
718	30888	12071
719	30930	12028
720	30970	11984
721	31012	11941
722	31062	11900
723	31103	11856
724	31144	11813
725	31185	11769
726	31227	11726
727	31268	11682
728	31309	11639
729	31351	11595
730	31392	11552
731	31434	11508
732	31475	11465
733	31517	11421
734	31554	11376
735	31596	11333
736	31637	11289
737	31678	11246
738	31717	11202
739	31758	11158
740	31800	11115
741	31841	11071
742	31882	11028
743	31924	10984
744	31965	10941
745	32007	10897
746	32049	10854
747	32090	10811
748	32128	10766
749	32166	10722
750	32207	10678
751	32251	10636
752	32305	10596
753	32350	10554
754	32392	10511
755	32435	10468
756	32477	10425
757	32517	10381
758	32575	10343
759	32615	10299
760	32655	10255
761	32696	10212
762	32737	10168
763	32781	10126
764	32837	10087
765	32877	10043
766	32919	10000
767	32961	9956
768	33009	9915
769	33051	9872
770	33098	9830
771	33144	9788
772	33184	9745
773	33223	9700
774	33263	9657
775	33304	9613
776	33347	9570
777	33389	9527
778	33430	9484
779	33471	9440
780	33512	9397
781	33554	9354
782	33595	9310
783	33638	9267
784	33679	9224
785	33719	9180
786	33758	9136
787	33797	9092
788	33838	9049
789	33879	9005
790	33920	8962
791	33962	8919
792	34003	8876
793	34053	8835
794	34098	8792
795	34153	8752
796	34206	8712
797	34284	8678
798	34328	8635
799	34370	8592
800	34410	8549
801	34452	8505
802	34492	8461
803	34530	8417
804	34569	8374
805	34610	8330
806	34653	8287
807	34694	8244
808	34736	8200
809	34776	8157
810	34820	8114
811	34860	8071
812	34901	8027
813	34942	7984
814	34984	7941
815	35025	7897
816	35069	7855
817	35110	7811
818	35150	7768
819	35191	7724
820	35240	7683
821	35281	7640
822	35332	7598
823	35378	7556
824	35419	7513
825	35460	7469
826	35504	7427
827	35546	7384
828	35587	7340
829	35628	7297
830	35669	7254
831	35712	7211
832	35750	7167
833	35806	7126
834	35847	7083
835	35889	7040
836	35930	6997
837	35969	6953
838	36011	6910
839	36057	6868
840	36096	6824
841	36137	6781
842	36193	6740
843	36234	6697
844	36278	6654
845	36317	6610
846	36358	6567
847	36400	6524
848	36441	6481
849	36481	6437
850	36523	6394
851	36568	6352
852	36609	6309
853	36648	6265
854	36690	6222
855	36731	6179
856	36773	6135
857	36813	6092
858	36856	6049
859	36897	6006
860	36938	5963
861	36980	5920
862	37035	5879
863	37076	5836
864	37126	5794
865	37167	5751
866	37211	5708
867	37252	5665
868	37289	5621
869	37331	5578
870	37373	5535
871	37414	5492
872	37454	5448
873	37494	5405
874	37535	5362
875	37575	5318
876	37615	5275
877	37656	5232
878	37698	5189
879	37740	5146
880	37781	5103
881	37822	5060
882	37863	5017
883	37905	4973
884	37952	4931
885	37993	4888
886	38035	4845
887	38078	4802
888	38119	4759
889	38160	4716
890	38204	4673
891	38246	4630
892	38285	4587
893	38332	4545
894	38384	4503
895	38425	4460
896	38465	4416
897	38510	4374
898	38554	4331
899	38593	4288
900	38635	4245
901	38676	4202
902	38716	4158
903	38757	4115
904	38799	4072
905	38837	4029
906	38883	3986
907	38923	3943
908	38964	3900
909	39004	3857
910	39044	3814
911	39086	3771
912	39127	3728
913	39169	3685
914	39210	3642
915	39253	3599
916	39293	3556
917	39343	3514
918	39383	3471
919	39423	3428
920	39465	3385
921	39508	3342
922	39548	3299
923	39594	3256
924	39633	3213
925	39672	3170
926	39713	3127
927	39753	3084
928	39791	3041
929	39832	2998
930	39873	2955
931	39914	2912
932	39956	2869
933	39995	2826
934	40037	2783
935	40077	2740
936	40115	2697
937	40157	2654
938	40197	2611
939	40239	2568
940	40281	2525
941	40322	2482
942	40364	2439
943	40406	2396
944	40447	2354
945	40487	2311
946	40529	2268
947	40570	2225
948	40611	2182
949	40654	2139
950	40696	2096
951	40736	2053
952	40786	2011
953	40826	1968
954	40867	1925
955	40907	1882
956	40957	1840
957	40999	1797
958	41040	1754
959	41082	1711
960	41123	1668
961	41164	1626
962	41202	1583
963	41242	1540
964	41282	1497
965	41322	1454
966	41370	1411
967	41419	1369
968	41469	1326
969	41510	1283
970	41550	1240
971	41592	1198
972	41634	1155
973	41676	1112
974	41717	1069
975	41758	1026
976	41812	984
977	41854	941
978	41896	898
979	41937	855
980	41978	813
981	42020	770
982	42062	727
983	42103	684
984	42142	641
985	42186	598
986	42226	556
987	42279	513
988	42317	470
989	42358	427
990	42401	385
991	42441	342
992	42483	299
993	42524	256
994	42566	213
995	42606	171
996	42646	128
997	42690	85
998	42731	42
999	42773	0
