city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
南京,整租·启迪方洲慧园 2室1厅 南,整租,江宁,麒麟科创园,启迪方洲慧园,87.59,2,1,1,南,高,32,公寓|拎包入住|精装|押一付一|随时看房,自如,今天维护,3030
南京,整租·西桥 2室1厅 南,整租,鼓楼,湖南路,西桥,65.68,2,1,1,南,中,7,近地铁,,1天前维护,3500
南京,合租·润花园 4居室 南卧,合租,建邺,南湖,润花园,13.0,4,1,2,南,低,11,公寓|拎包入住|精装|押一付一|随时看房,自如,今天维护,1490
南京,整租·察哈尔路 2室1厅 南,整租,鼓楼,水佐岗,察哈尔路,61.52,2,1,1,南,中,4,近地铁|精装,,3天前维护,4000
南京,整租·东原印长江 3室2厅 南,整租,建邺,万达广场,东原印长江,126.27,3,2,2,南,中,31,近地铁|精装|双卫生间,,2天前维护,9000
南京,整租·东方万汇尊邸 1室1厅 南,整租,浦口,江北中央商务区,东方万汇尊邸,51.61,1,1,1,南,高,32,近地铁|精装,,2天前维护,1700
南京,整租·如意山水三期 3室2厅 南/北,整租,高淳,高淳,如意山水三期,120.0,3,2,2,南 北,中,8,双卫生间,,,1000
南京,合租·东郊美树苑 5居室 南卧,合租,玄武,卫岗,东郊美树苑,14.29,5,1,2,南,高,6,公寓|拎包入住|近地铁|精装|押一付一|随时看房,自如,今天维护,1360
南京,整租·康桥圣菲 1室1厅 北/东北,整租,栖霞,仙林,康桥圣菲,25.58,1,1,1,北 东北,中,6,近地铁|精装|随时看房,,,2350
南京,整租·河滨花园(溧水) 3室2厅 南,整租,溧水,溧水城中,河滨花园(溧水),107.0,3,2,1,南,低,20,精装|随时看房,,,1000
南京,整租·阳光雅居 3室2厅 跃层 南/北,整租,栖霞,万寿,阳光雅居,122.51,3,2,1,南 北,高,6,近地铁|精装|随时看房,,,2600
南京,整租·明发新城中心 2室1厅 南,整租,浦口,江浦街道,明发新城中心,49.17,2,1,1,南,中,20,近地铁|随时看房,,3天前维护,1900
南京,整租·新百花园 3室1厅 南,整租,建邺,应天西路,新百花园,90.5,3,1,1,南,高,7,近地铁|随时看房,链家,,2800
南京,合租·紫金城西区 4居室 北卧,合租,秦淮,月牙湖,紫金城西区,11.6,4,1,2,北,高,6,公寓|拎包入住|精装|押一付一|随时看房,自如,今天维护,1090
南京,合租·锁金四村 3居室 北卧,合租,玄武,锁金村,锁金四村,9.3,3,1,1,北,中,6,公寓|拎包入住|精装|押一付一|随时看房,自如,今天维护,1360
南京,合租·拉德芳斯北苑 4居室 北卧,合租,建邺,新城科技园,拉德芳斯北苑,11.3,4,1,2,北,中,18,新上|公寓|拎包入住|近地铁|精装|押一付一,自如,1天前维护,1390
南京,整租·美林苑 3室1厅 南,整租,玄武,月牙湖,美林苑,105.49,3,1,1,南,中,7,近地铁|精装,链家,,4300
南京,整租·山居花园和苑 2室1厅 南,整租,六合,大厂,山居花园和苑,92.0,2,1,1,南,中,23,精装,,,2000
南京,整租·雅居乐滨江国际二期 5室2厅 南,整租,浦口,江北中央商务区,雅居乐滨江国际二期,193.51,5,2,2,南,低,32,双卫生间,,,4800
