city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
成都,整租·英郡三期 3室2厅 东南,整租,高新,世纪城,英郡三期,108.83,3,2,2,东南,低,34,权属核验|自营|新上|近地铁|押一付一|双卫生间|随时看房|首次出租,贝壳优选,今天维护,3700
成都,独栋·龙湖冠寓 新川之心店 落地窗湖景房套一 新川园区实习出差 爱奇艺快手中科鼎桥新华三 可开票拎包入住 开间,独栋,,,,27.32,1,0,1,,,0,独栋公寓|月租|精装|开放厨房|押一付一,龙湖冠寓,1个月前维护,1573-1588
成都,整租·时代悦城 3室1厅 南,整租,郫都区,郫县城区,时代悦城,83.59,3,1,2,南,低,31,权属核验|自营|新上|精装|押一付一|双卫生间|随时看房,贝壳优选,1天前维护,2420
成都,独栋·龙湖冠寓 新川之心店 【年底钜惠】 AI创新中心专属折扣 天目中心博雅广场 月付可开票 实习出差首选 开间,独栋,,,,27.32,1,0,1,,,0,独栋公寓|月租|精装|开放厨房|押一付一,龙湖冠寓,12天前维护,1575-1616
成都,整租·师大现代花园 2室1厅 东北,整租,龙泉驿,大面,师大现代花园,94.08,2,1,1,东北,中,32,权属核验|自营|精装|押一付一|随时看房,贝壳优选,今天维护,1900
成都,整租·泊里中心 2室1厅 东南,整租,成华,东客站,泊里中心,48.0,2,1,1,东南,低,28,权属核验|近地铁|精装|随时看房,链家,,2400
成都,整租·快乐空间 3室1厅 东南,整租,青羊,府南新区,快乐空间,52.59,3,1,1,东南,低,12,权属核验|自营|新上|近地铁|押一付一|随时看房,贝壳优选,3天前维护,2310
成都,整租·香门第世家 3室1厅 西南,整租,郫都区,郫县城区,香门第世家,100.0,3,1,2,西南,低,11,权属核验|精装|双卫生间|随时看房,链家,3天前维护,1600
成都,整租·源滩国际社区 2室1厅 西,整租,成华,理工大,源滩国际社区,40.0,2,1,1,西,中,22,权属核验|近地铁|精装|随时看房,,,2000
成都,整租·首开龙湖云著一期 4室2厅 南,整租,天府新区,天府公园西,首开龙湖云著一期,175.83,4,2,3,南,中,32,权属核验|近地铁|精装|随时看房,,,6200
成都,整租·熙岸 3室2厅 东南/南,整租,高新西,中海国际,熙岸,132.35,3,2,2,东南 南,低,6,权属核验|精装|双卫生间|随时看房,链家,4天前维护,3000
成都,独栋·人人租房 嘉年华青年城 无中介可月付天府五街地铁口套一看江景 1室1厅,独栋,,,,40.0,1,1,1,,,0,独栋公寓|月租|精装|开放厨房,人人租房,9天前维护,1310
成都,整租·万科翡翠公园 4室2厅 南,整租,天府新区,锦江生态带,万科翡翠公园,122.0,4,2,2,南,中,35,权属核验|近地铁|精装|双卫生间|随时看房,,4天前维护,3600
成都,整租·悦龙山 3室2厅 东,整租,龙泉驿,大面,悦龙山,94.42,3,2,2,东,低,33,权属核验|近地铁|精装|双卫生间|随时看房,链家,,2600
成都,整租·华汇天地 3室2厅 南,整租,双流,华府,华汇天地,81.17,3,2,1,南,高,32,权属核验|近地铁|精装|随时看房,,,2500
成都,整租·金牛花园 3室1厅 东南,整租,金牛,高家庄,金牛花园,147.46,3,1,2,东南,低,17,权属核验|精装|双卫生间,链家,,3500
成都,整租·馨光华庭 2室1厅 东,整租,青羊,外光华,馨光华庭,91.59,2,1,1,东,中,18,权属核验|随时看房,,3天前维护,2400
成都,独栋·人人租房 嘉年华青年城 0中介天府五街套一便宜..租通燃气套一 1室1厅,独栋,,,,45.0,1,1,1,,,0,新上|独栋公寓|月租|精装|开放厨房,人人租房,9天前维护,1441
成都,整租·金地天府城 3室1厅 北,整租,高新,新川南,金地天府城,84.77,3,1,1,北,低,31,权属核验|近地铁|随时看房,链家,,2500
成都,整租·美城悦荣府 2室1厅 东,整租,天府新区,华阳,美城悦荣府,64.88,2,1,1,东,高,34,权属核验|近地铁|随时看房,链家,,2800
成都,整租·鹿溪河畔北区 3室2厅 东南,整租,天府新区,兴隆湖,鹿溪河畔北区,110.0,3,2,2,东南,高,32,近地铁|精装|双卫生间|随时看房,,2天前维护,2400
成都,整租·中海新川华府 4室2厅 东南,整租,高新,新川南,中海新川华府,139.0,4,2,2,东南,高,17,权属核验|近地铁|精装|双卫生间|随时看房,链家,,4400
成都,整租·龙湖时代天街 1室1厅 东南/西,整租,高新西,高新西,龙湖时代天街,28.93,1,1,1,东南 西,中,25,权属核验|精装|随时看房,,,1000
成都,整租·朗诗乐府 3室1厅 西南,整租,成华,理工大,朗诗乐府,110.75,3,1,2,西南,低,33,权属核验|近地铁|精装|双卫生间|随时看房,链家,,5160
成都,整租·翰林美居 2室1厅 西南,整租,锦江,川师,翰林美居,66.28,2,1,1,西南,低,11,权属核验|近地铁|精装|随时看房,链家,,3300
成都,整租·阳光100米娅中心一期 1室1厅 西,整租,成华,万年场,阳光100米娅中心一期,41.69,1,1,1,西,高,32,权属核验|近地铁|精装|随时看房,链家,5天前维护,2000
成都,整租·地铁首座 1室1厅 东南,整租,温江,温江大学城,地铁首座,36.83,1,1,1,东南,中,32,权属核验|自营|月租|精装|押一付一|随时看房,贝壳优选,,1200
成都,整租·翰林美居 2室1厅 西南,整租,锦江,川师,翰林美居,66.28,2,1,1,西南,低,11,权属核验|近地铁|精装|随时看房,链家,,3300
成都,整租·蓝润睿城 2室2厅 东南,整租,温江,温江大学城,蓝润睿城,74.26,2,2,1,东南,高,26,权属核验|自营|精装|押一付一|随时看房,贝壳优选,,1700
成都,独栋·龙湖冠寓 成都软件园店 可短租张家寺软件园三五街精装loft 0中介限时物业折扣精装修拎包入住 学生企业有优惠 开间,独栋,,,,23.27,1,0,1,,,0,独栋公寓|近地铁|精装|押一付一,龙湖冠寓,2个月前维护,1450
成都,整租·龙腾东麓城 1室1厅 西南,整租,龙泉驿,东山,龙腾东麓城,32.13,1,1,1,西南,中,33,权属核验|自营|月租|精装|押一付一|随时看房,贝壳优选,,1155
成都,独栋·人人租房 嘉年华青年城 欧洲中心软件园套一天府五街  .. 1室1厅,独栋,,,,40.0,1,1,1,,,0,独栋公寓|精装|开放厨房,人人租房,10天前维护,1375
成都,整租·恒大翡翠华庭 2室1厅 西南,整租,青羊,万家湾,恒大翡翠华庭,85.77,2,1,1,西南,中,22,权属核验|自营|精装|押一付一|随时看房,贝壳优选,,2700
成都,独栋·人人租房 嘉年华青年城 可短租无中介可月付天府五街套一抖音大厦 1室1厅,独栋,,,,40.0,1,1,1,,,0,独栋公寓|月租|精装|开放厨房,人人租房,9天前维护,1260
成都,整租·朗基龙堂 1室1厅 西南,整租,青羊,光华泡小,朗基龙堂,50.94,1,1,1,西南,高,26,权属核验|自营|月租|精装|押一付一|随时看房,贝壳优选,,1805
成都,整租·阳光100米娅中心一期 1室1厅 西,整租,成华,万年场,阳光100米娅中心一期,41.69,1,1,1,西,高,32,权属核验|近地铁|精装|随时看房,链家,5天前维护,2000
成都,整租·成都青羊万达广场 1室0厅 南,整租,青羊,外光华,成都青羊万达广场,49.61,1,0,1,南,中,30,权属核验|近地铁|精装|随时看房,,3天前维护,2000
成都,整租·泉水南苑 1室1厅 南,整租,金牛,五块石,泉水南苑,40.01,1,1,1,南,高,6,权属核验|近地铁|随时看房,,,950
成都,整租·恒瑞新川中心一期 1室1厅 南,整租,高新,新川南,恒瑞新川中心一期,48.24,1,1,1,南,中,25,权属核验|精装,,5天前维护,1600
成都,整租·御龙山二期 3室1厅 东/东南/南,整租,成华,万年场,御龙山二期,88.72,3,1,1,东 东南 南,低,44,权属核验|随时看房,,,2500
成都,整租·青龙小区 2室1厅 东,整租,成华,驷马桥,青龙小区,72.27,2,1,1,东,高,7,权属核验|随时看房,链家,,1400
成都,独栋·人人租房 嘉年华青年城 0中介费近天府五街三街...软件园世纪城环球中心可月付 1室1厅,独栋,,,,35.0,1,1,1,,,0,独栋公寓|月租|精装|开放厨房,人人租房,3天前维护,1261
成都,整租·洲际银海湾 2室1厅 东,整租,温江,光华大道沿线,洲际银海湾,80.37,2,1,1,东,高,39,权属核验|新上|近地铁|精装|随时看房,,4天前维护,2100
成都,整租·上置雅宾利 3室1厅 南/北,整租,郫都区,红光,上置雅宾利,92.55,3,1,2,南 北,中,24,权属核验|双卫生间|随时看房,,4天前维护,1700
成都,整租·富力桃园B区 2室1厅 东南,整租,新都,毗河,富力桃园B区,89.18,2,1,1,东南,高,32,权属核验|近地铁|精装,链家,,1900
成都,整租·上同仁路50号大院 1室0厅 西南,整租,青羊,八宝街,上同仁路50号大院,35.0,1,0,1,西南,中,7,权属核验|随时看房,,5天前维护,1400
成都,整租·紫坪丽景 3室2厅 南,整租,都江堰,都江堰城区,紫坪丽景,121.28,3,2,2,南,中,6,权属核验|精装|双卫生间|随时看房,,,1600
成都,合租·热电厂宿舍 3居室 南卧,合租,成华,万象城,热电厂宿舍,11.0,3,1,2,南,中,7,权属核验|公寓|拎包入住|精装|押一付一|随时看房,美家寓,1天前维护,650
成都,整租·锦里苑 2室2厅 东北,整租,青羊,浣花溪,锦里苑,91.18,2,2,1,东北,中,7,权属核验|近地铁,,1天前维护,2820
成都,整租·宇众曼城 1室0厅 东南,整租,郫都区,红光,宇众曼城,35.6,1,0,1,东南,中,32,权属核验|精装|随时看房,,,1050
成都,整租·镏金岁月 1室1厅 东/东南,整租,锦江,攀成钢,镏金岁月,53.31,1,1,1,东 东南,中,33,权属核验|近地铁|随时看房,链家,,2200
成都,整租·柳河苑 3室2厅 东南,整租,温江,温江老城,柳河苑,79.92,3,2,1,东南,高,6,权属核验|近地铁|精装,,,1300
