city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
厦门,整租·景观公寓 3室2厅 南,整租,思明,会展中心,景观公寓,90.0,3,2,1,南,低,12,精装|随时看房,,2天前维护,3980
厦门,独栋·厦门思寓 长青路店 【直租特惠 免中介】地铁一号线 磐基 莲花路口 阳光LOFT 开间,独栋,,,,30.0,1,0,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,厦门思寓,14天前维护,2380
厦门,合租·湖滨南路251-300号 7居室 东北卧,合租,思明,禾祥东路,湖滨南路251-300号,15.0,7,0,7,东北,高,5,近地铁|精装|随时看房,,1天前维护,1400
厦门,独栋·厦门思寓 云顶湖畔 1期朝西单间 开间,独栋,,,,20.0,1,0,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,厦门思寓,11天前维护,1500
厦门,合租·莲花国际 1居室 东南卧,合租,集美,集美新城,莲花国际,45.0,1,1,1,东南,高,14,近地铁|随时看房,,1天前维护,1799
厦门,独栋·厦门思寓 尚忠美地店 【毕业特惠季】舒适大复式年签钜惠 近坂尚地铁 步行可达 1室1厅,独栋,,,,30.0,1,1,1,,,0,独栋公寓|月租|近地铁|有阳台|开放厨房|押一付一,厦门思寓,14天前维护,1480
厦门,合租·源昌鑫海湾 2居室 南卧,合租,湖里,五缘湾,源昌鑫海湾,30.0,2,1,1,南,高,16,随时看房,,,1800
厦门,独栋·厦门思寓 长青路店 【直租特惠 】地铁一号线 磐基 莲花路口 中庭小复式 1室1厅,独栋,,,,20.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,厦门思寓,11天前维护,1480
厦门,整租·万达广场 1室0厅 南,整租,湖里,万达广场,万达广场,43.91,1,0,1,南,中,31,精装,,3天前维护,2000
厦门,独栋·海西公寓 乌石浦裕兴花园 少女心A户型 1室1厅,独栋,,,,55.0,1,1,1,,,0,独栋公寓|拎包入住|近地铁|精装|有阳台|开放厨房|押一付一,海西公寓,28天前维护,1899-2588
厦门,整租·杏林湾商务运营中心 1室0厅 东/南,整租,集美,集美新城,杏林湾商务运营中心,72.0,1,0,0,东 南,中,20,近地铁|精装,,,3024
厦门,独栋·海西公寓 SM总店（乌石浦地铁） 常规A户型 1室1厅,独栋,,,,42.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|有阳台|开放厨房,海西公寓,28天前维护,2100-2200
厦门,整租·华林紫微小区 1室1厅 南,整租,思明,瑞景,华林紫微小区,50.0,1,1,1,南,高,8,新上|精装|随时看房,,2天前维护,2500
